,Comments,Quality,Difficulty,Dates,TeacherID
75,No Comments,3.5,3.0,"Nov 26th, 2003",247575
76,"Worst teacher who doesn't care. Test and examples carry so many new words: even if you've studied all, you still feel miserable. I know not of any who thinks Aziz is a good teacher. He puts students in charge of language table without ever showing up. He forces us to recite dialect speech w/out understanding. Hardworking Yalies deserve better.",1.0,5.0,"Jan 22nd, 2016",2043254
77,There's something wrong with this teacher's teaching method. He overwhelmed beginners with so many new words and expressions in the first several classes and expected us to reproduce them all immediately. I dropped his class after two weeks. ,2.0,4.0,"Nov 16th, 2015",2043254
78,"She is very stupendous, incredible, fantastic, and wonderful!",5.0,2.0,"Nov 10th, 2010",546334
79,No Comments,1.0,2.0,"Mar 4th, 2006",546334
80,"I took her women and development class at CU. She uses many books and there is a lot of reading every night. She is a very harsh grader. This class is not easy to get an A in even if you do everything necessary because of the grading, amount of reading, pop quizzes etc.",2.5,5.0,"May 11th, 2013",796649
81,"She teaches at CU Boulder now and I really enjoy this class. You have to be interested in the topics because there is a lot of reading. There are reading quizzes and 3 major essays but she drops the lowest essay score, but kind of harsh grading. Good teacher- drills the concepts into your head. The true/false on the exams are hard and very specific",3.5,3.0,"Nov 29th, 2012",796649
82,Absolutely awful! Makes this by far the worst college course I have taken.,1.0,5.0,"Oct 17th, 2011",796649
83,A very good professor who is extremely intelligent in her field of work. She is also able to make her course fun and entertaining. Sex and Gender in Society was a very worthwhile course!!,4.0,3.0,"Jul 22nd, 2010",796649
84,An all around great teacher who really makes you think and care about what she is teaching. Always helpful and takes time to listen. Take any Soc. class she teaches. She's also really pretty to go along with all of her intelligence. I would reccomend her classes to anyone interested in Soc.,5.0,1.0,"Aug 3rd, 2006",796649
85,"Sex and Gender in Society--really good class, and she teaches it very well!",4.5,2.0,"Jan 11th, 2006",796649
86,If only yale had more classes like this: tough but you learn a lot. And the prof seems like such a cool guy with a lot of real world experience.,5.0,4.0,"Sep 2nd, 2016",2108559
87,He is an awesome professor! Take all of his classes and ask questions!,5.0,3.0,"Mar 26th, 2016",2108559
88,Great seminar class with good explanations.,5.0,4.0,"Feb 4th, 2016",2108559
89,Ridiculous final exam. No respect for student's time and schedule.,1.0,5.0,"May 6th, 2021",960566
90,"The course was so hard. He would write notes on paper with markers that were unclear, and the notes were hard to read. The homework was also very hard, not much close to what he taught in class. The materials in class were so profound and after the mid-semester, we could barely understand what he was talking about. Don't recommend his class at all.",1.0,5.0,"May 3rd, 2021",960566
91,Professor Barron gives straightforward lectures and tries not to leave anybody behind. He always makes time for students if you need extra help.,4.0,3.0,"Jan 17th, 2018",960566
92,He will put you to sleep. My DOG knows what a median is,2.0,3.0,"Jan 31st, 2011",960566
93,No Comments,4.0,2.0,"Jun 24th, 2009",1172035
94,Barney Bate is the best!!!!,5.0,3.0,"Oct 26th, 2009",139020
95,Great guy,5.0,2.0,"Sep 26th, 2009",139020
96,Barney Bate is the best!,5.0,3.0,"Nov 18th, 2005",139020
97,No Comments,5.0,4.0,"Nov 6th, 2003",139020
98,No Comments,1.5,2.0,"Aug 20th, 2003",139020
99,"Very nice, easy going prof. Sometimes lets sections get carried away.",4.5,2.0,"Nov 18th, 2009",334907
100,"Professor Beecroft is one of Yale's hidden gems. He teaches really cutting edge stuff, (which means inscrutable and, at the moment, unpopular among pretentious as hell Yale students who don't care about anything except knowing stuff that will make them sound good at parties) but if you get a chance to take a course with him, he's great.",4.0,2.0,"Oct 28th, 2008",334907
101,"Very kind and accomodating.  Never actually corrects a student who's made a mistake, but just says, ""Or maybe it's this...""",4.0,2.0,"Sep 9th, 2006",334907
102,weird and crazy. focus your papers on close reading as muc as possible if you want a decent grade,4.0,3.0,"May 7th, 2006",334907
103,"He passed back unmarked papers with no comments, with just a few checks, whether they were As or Bs. His reading and discussions about the texts focused on the obscurest of close readings and passed right over the broader ideas and themes. Not a very effective prof.",2.5,3.0,"Nov 20th, 2004",334907
104,"The instructor is at Duke now. Be prepared for more assigned reading than is possible to read. Participation is graded, but it is not clear how participation will be scored. The course should have been fun and interesting but was not. The instructor did not respond well to student feedback or criticism.",1.0,3.0,"Dec 1st, 2020",940114
105,"All in all, great professor!",4.5,4.0,"Oct 29th, 2015",940114
106,"Picks favorites, humiliates others.",3.0,5.0,"Apr 12th, 2010",940114
107,No Comments,5.0,5.0,"Sep 4th, 2008",940114
108,This guy is a stick in the mud,2.0,2.0,"Apr 26th, 2007",940114
109,The only thing more beautiful than her is her brain.,5.0,4.0,"Jul 29th, 2020",2539852
110,The only thing more beautiful than her is her brain.,,,,2539852
111,"She is truly an astounding individual. I would take her again. The class is hard, all orgo classes are. But I really understand the material and I know so many people who says she truly prepares you for health and science professions.",4.0,4.0,"Jul 25th, 2012",138944
112,"Outstanding professor and mentor. She dedicated her life to preparing her students for both chemistry and life. She definitely had tough love, but I wouldn't be as successful today without her.",5.0,4.0,"Sep 19th, 2011",138944
113,"like others have said, awful professor. you can see that she tries, but she is disorganized, forgetful and painfully miserable and boring to learn with.",1.0,2.0,"Jun 23rd, 2010",138944
114,"Avoid this professor like the plague. I took her ""advanced"" gen chem lab class (which was disbanded the year after I took it- not sure if they brought it back) and STARS. Totally unhelpful, was absent for most of class, her choice of TAs is questionable. An easy A, but definitely not worth the frustration or busy work she gives you.",1.0,1.0,"Mar 22nd, 2010",138944
115,"Most helpful advisor I have every met. She will ensure that you go places in this tough world. She gives you tough love: Learn to deal with it. She is the most candid person I have ever met, she won't supply you with any of the bull that other professors give. She is challenging and rewarding!",5.0,4.0,"Jan 27th, 2010",138944
116,She was a great professor and incredibly supportive advisor,5.0,3.0,"Oct 17th, 2009",138944
117,"Extremely inpatient, rude,  although she will commit time after class for additional help and she says to ask questions, she makes you feel like a moron for asking a question.  Just seems very unhappy like maybe teaching at a jc is beneath her since she was at Yale.  I simply do not like her!!!",1.0,5.0,"Oct 3rd, 2009",138944
118,Bad!,1.0,1.0,"Feb 23rd, 2009",138944
119,Very nasty professor. She seems to be mad at the world. She needs to be fired!,1.0,3.0,"Feb 20th, 2009",138944
120,"Just to reiterate, the very worst prof in the world.",1.0,5.0,"Aug 26th, 2008",138944
121,The very worst prof in the world.,1.0,5.0,"Jan 12th, 2008",138944
122,"Not a great professor.  She was disorganized and made us buy a book we NEVER used.  She tries to be dedicated, but she really is not a lot of fun to learn under.",1.5,4.0,"May 29th, 2006",138944
123,"extremely disorganized. very unhelpful. miserable,and wants you to be miserable. loses tests and lab reports. misses class/lab. doesn't clearly answer questions (that's if she even knows the answer). if you're a minority, she thinks she has the right to not treat you well. very unprofessional in every way. i strongly do not recommend her.",1.0,4.0,"Aug 8th, 2005",138944
124,"VeRy HaRd...tets are ridiculously hard...you think you know the stuff in her class then the material on the test is 10x worse.  Willing to help but it sometimes seems as if she'll only really help the people she favors.  She does want you to succeed, though...",3.0,5.0,"Dec 2nd, 2004",138944
125,"terrible. never took the time to correct errors in her lab manual pointed out by the monday class... even by thursday, which ended up costing her students thousands of unnecessary hours. learned nada in her class.",1.0,5.0,"Aug 2nd, 2004",138944
126,"very dedicated, willing to help students, very concerned with students' overall sucess in her courses.  willing to meet with students at any time.",5.0,5.0,"Mar 17th, 2003",138944
127,No Comments,4.0,3.0,"Feb 19th, 2003",138944
128,disorganized!!,1.5,2.0,"Feb 19th, 2003",138944
129,lab was the worst class i've ever taken. unnecessarily hard and busyworkish,1.0,5.0,"Feb 19th, 2003",138944
130,This instructor is a  master teacher. You won't find many like him. A treasure.,5.0,4.0,"Feb 6th, 2016",568910
131,Excellent course presented well by humorous and engaging professor who is  a class act. As a Britisher who attended high school only sometimes it was for me a privilege to have access to this course online. Thanks to Yale for making it available and even more thanks to Professor Blight.,5.0,2.0,"Dec 8th, 2014",568910
132,Professor Blight's Civil War and Reconstruction course was amazing! It changed the way I thought about the millenial event of American history.,4.0,3.0,"Sep 3rd, 2012",568910
133,"Very interesting, insightful he tells the story.",3.5,3.0,"Jun 5th, 2012",568910
134,"Absolutely amazing prof, really good at teaching things and has a wonderfully dry sense of humour... his was the only class that I didn't even skip once, simply because I loved his lectures so much that I couldn't bear to miss one :-P",5.0,3.0,"Jul 5th, 2005",568910
135,No Comments,4.5,4.0,"Apr 14th, 2005",568910
136,No Comments,5.0,5.0,"Mar 21st, 2005",568910
137,No Comments,2.0,3.0,"Feb 11th, 2005",568910
138,"I'm taking a coursera course called Introduction To Psychology and it's professor Bloom who teaches it. He's honestly amazing and makes every concept easier to understand. Amazing lectures, going into a lot of detail. Would 100% take his class if i was in Yale.",5.0,3.0,"Aug 31st, 2020",133932
139,"I'm taking a coursera course called Introduction To Psychology and it's professor Bloom who teaches it. He's honestly amazing and makes every concept easier to understand. Amazing lectures, going into a lot of detail. Would 100% take his class if i was in Yale.",4.0,3.0,"Feb 1st, 2019",133932
140,"Very interesting professor on Coursera. On Coursera, his lectures are all via animation and drawings rather than on a camera, which is engaging for me personally. His intro to psychology was very informative for those who know concepts but not in depth. Taking it as a junior in high school on my free time is challenging but what he says sticks.",4.5,3.0,"Sep 5th, 2014",133932
141,Great Lecturer. Learned so much in his class.,4.5,3.0,"Mar 23rd, 2014",133932
142,Watched his online lectures. They were interesting and informative. He knows what he is talking about.,4.5,1.0,"Oct 9th, 2013",133932
143,"I'm watching Yale Open Course videos, and so far, he's amazing",4.5,2.0,"Jan 7th, 2013",133932
144,"His Into to Psychology class is basically the reason I became a psych major. It remains one of my favorite courses I've ever taken at Yale. Bloom's lectures are engrossing, hilarious, and crystal-clear. Highly recommended!",3.0,3.0,"Jun 8th, 2012",133932
145,He seems to be very nice from his lectures on youtube. Check them out!!,4.0,2.0,"Jun 1st, 2012",133932
146,Awesome,5.0,3.0,"Jan 5th, 2012",133932
147,My favorite professor at Yale. Incredible lecturer.,1.0,3.0,"Jun 3rd, 2004",133932
148,He is the reason i am transfering to Havard.,2.0,3.0,"May 5th, 2004",133932
149,No Comments,5.0,3.0,"Feb 22nd, 2004",133932
150,"Best professor I've ever had!  I ended up majoring in psych after taking his intro psych course, and I think he taught me everything I needed to know in the major!",5.0,4.0,"Jun 12th, 2003",133932
151,No Comments,1.0,3.0,"Mar 28th, 2003",133932
152,No Comments,3.0,4.0,"Mar 1st, 2003",133932
153,"A rising star in his field, if considering grad school, pay close attention to his ideas.",,,,133932
154,I took a class from professor Bloom about 5 years ago. professor bloom knows a lot and can give a great lecture. I thought to myself all this material is free at the public library/ the public internet/web.  Paper /Pencil. Internet /web. what I wanted was to be a great writer or creative writing. Pencil /Paper. Internet /web /facebook. All we need.,5.0,5.0,"Jul 16th, 2017",226583
155,"He is incredibly knowledgeable and experienced in his field, and students can hear some great thoughts and interpretations on pieces. However, he does tend to get off subject; sometimes for 10 minutes, sometimes for 30. Either way, you still get great knowledge about the subject. Being graded only on the term paper is a great thing too.",4.0,2.0,"Sep 10th, 2010",226583
156,"An incredible lecturer, and wonderful one on one if you have any questions concerning the final paper or anything under the poetic sun. Each lecture more interesting than the last -- Prof. Bloom can recite much of the poems and plays covered by heart, and has dedicated his life to teaching them in his own distinct (but great) way.",4.5,4.0,"Aug 14th, 2010",226583
157,bloom cannot stand the fact that he will never be as good of a writer as nietzsche was,1.0,1.0,"Feb 8th, 2008",226583
158,"Just remember that Mr. Bloom's favorite poem in ""When Lilacs Last in the Dooryard BLOOMED"" and his favorite novel is about a man named Leopold BLOOM. That tells you all  you need to know about this man's ego.",2.5,3.0,"Jan 21st, 2008",226583
159,"The unthinkingness of school makes his class look absurd. You have to read to understand him, and school generally precludes reading with busywork. The implication is, if one wants to be the greatest student he ever had, one has to have no priorities other than literature. Flunk out of Yale first, then go to his class.",5.0,1.0,"May 2nd, 2007",226583
160,"He is a bear. He roars and challenges. ""Squeeze lemon and throw out pulp if you disagree with me."" He knows that he is a literary star so he doesn't hide fact you should respect him. He loves literature and examining man and God and Freud. He does want us to learn how to see things through a different lense. Suprisingly warm and supportive one/one",4.0,5.0,"Jul 27th, 2006",226583
161,That blurb about his being able to read one thousand pages an hour is such a sham.,2.0,4.0,"Apr 3rd, 2006",226583
162,"Interesting forum for learning about Harold Bloom, Harold Bloom's thoughts on poetry, Harold Bloom's version of psychoanalysis, Harold Bloom's view of Shakespeare, and Harold Bloom as a Christ-figure in literary criticism.  Not a Bloom-free moment here!",3.0,3.0,"Jul 14th, 2005",226583
163,"Talk about MAN unlimited.  Where shall wisdom be found?  Right here.  I used to like T.S. Eliot, but then Dr. Bloom showed me how ignorant I was.  But that's OK.  His influence causes no anxiety here.",5.0,5.0,"Nov 18th, 2004",226583
164,"He'll like your work or hate your work, so be careful.  Very unpredictable and a huge ego.",2.0,5.0,"Oct 18th, 2004",226583
165,Bloom is da bomb,5.0,1.0,"Oct 13th, 2003",226583
166,His seminar is an experience more than a class.  It's intense and relatively easy if you remember to agree with him.  Worth taking just to be in the presence of such a large intellect (and ego),3.0,3.0,"Sep 22nd, 2003",226583
167,great great,1.0,5.0,"Dec 17th, 2020",1248370
168,"Clearly cares a LOT about students and is a really nice, funny guy, so I hate to say that he is the most unbelievably disorganized professor I've ever met. Completely inaccessible and will forget to reply to even really urgent emails. If you can corner him, he can be helpful if not very clear.",4.0,4.0,"Nov 4th, 2019",1248370
169,great great,5.0,5.0,"Jun 23rd, 2019",1248370
170,"Very difficult, but extremely rewarding class.",5.0,4.0,"May 14th, 2019",1248370
171,He is someone that really cares for his students. He teaches in a way that will train you to think like an economist rather than just getting you to memorize concepts - more profs should teach like this - it may make the course more challenging but it is worth it!,5.0,3.0,"May 14th, 2019",1248370
172,"Starts slow to properly build foundations. Then speeds up rapidly. While it takes some time to appreciate this style, if you work hard at the start it pays off!",5.0,4.0,"May 7th, 2019",1248370
173,Challenges you to actually think - an incredibly rewarding class!,5.0,4.0,"Apr 26th, 2019",1248370
174,Best advisor I have ever had.,5.0,4.0,"Oct 26th, 2018",1248370
175,"Very different lecture style. Really gets into detail as this is Master Level. You will have to get used to it but when you do it is more rewarding than any other class I took. Even if it seems easy at first, you need to work to *really* understand it. Be prepared to forget everything you learned at undergraduate as you will have to re-learn it.",4.0,3.0,"Jan 20th, 2018",1248370
176,"Brilliant man and an absolute gem of a person. His style of teaching is different and initially not easy to follow, but once I allowed myself to get used to it, I started enjoying his classes. He tries to explain the logic behind the theory which is very valuable. Apart from that, the best adviser I have had till date.",1.0,3.0,"Jan 3rd, 2018",1248370
177,His classes are not well structured and he does not communicate ideas clearly. He is terrible at responding to questions via email and essentially ignores his students.,5.0,4.0,"Nov 13th, 2016",1248370
178,Difficult to follow in lecture but if you take the time to listen and read you will learn so much!,1.0,5.0,"Mar 2nd, 2016",1248370
179,This professor does a really poor quality work.  Strange that other people have posted poor reviews of him yet they keep getting removed here.,4.5,1.0,"Feb 26th, 2016",1248370
180,"Amazing person and amazing teacher. The second part is a lot more controversial than the first. But to be honest, it's not easy to teach econometrics. And he does it as well as anyone could.",1.0,4.0,"May 4th, 2010",1248370
181,"terrible, terrible teacher",1.0,3.0,"Nov 11th, 2009",1248370
182,"Boozer is a really nice guy and I think he genuinely wants to help his student.  That said he is such a TERRIBLE teacher and somehow manages to make simple things so difficult.  I think this stems from his time at MIT-- brilliant at math, terrible at communicating.",1.0,3.0,"Jan 21st, 2009",1248370
183,He is very boring and makes simple concepts actually hard to understand. He comes late to class and then makes the class stay fifteen minutes late. He never responds to emails and has clear favorites. He is the worst prof I had in the econ dept at Yale!,,,,1248370
184,"awesome lecturer, if you can stand dry humor and caustic sarcasm.",4.5,3.0,"Oct 5th, 2010",509293
185,This guy is out of his mind. He thinks he is Bruce Lee!,1.0,5.0,"Jan 9th, 2008",509293
186,Not half as bad as people say he is!!,5.0,2.0,"Apr 13th, 2005",509293
187,No Comments,2.5,4.0,"Apr 13th, 2005",509293
188,He tried way too hard to be funny and actually ended up being really annoying.  The first lecture is not necessarily indicative of his future teaching style.,2.5,4.0,"Jan 1st, 2005",509293
189,Good guy. Very funny and informative. Takes his job very seriously and cares about the general welfare of students. Also thoroughly covers the material.,5.0,3.0,"Nov 22nd, 2004",509293
190,Very tough but also very very good English professor; I found her feedback and criticisms to be supererogatory.,5.0,4.0,"Dec 29th, 2016",796646
191,No Comments,2.0,3.0,"Oct 17th, 2006",796646
192,She's bootalicious!,3.0,3.0,"Aug 8th, 2006",796646
193,"professor brantley is awesome! she's funny in class, too!",4.5,4.0,"Jan 11th, 2006",796646
194,"She is passionate about ""the story"" and its expression into the written word. I took the class as a ""requirement"" and became a budding author due to her enthusiasm and encouragement.",5.0,4.0,"Aug 18th, 2011",138951
195,"The professor steered the expository writing seminar well, with care and attention to each student, and provided thoughtful critiques not only to improve our technical skills, but to push each of us to develop and fine-tune our voice and writing style.  She guided us to plumb deeper into ourselves to create authentic works of self expression.",4.5,3.0,"Aug 18th, 2011",138951
196,"She believed there was a ""right"" way to write, and then proceeded to break all her own inane rules.  Definately had favorites in the class, and was infatuated by anything she knew nothing about, giving a free pass to some things that people obviously made up (in a nonfiction course).  I don't know how she's still around.",1.5,4.0,"Oct 9th, 2005",138951
197,"a little boring, one of the better 120 sections though in terms of assignments",3.5,3.0,"Feb 19th, 2003",138951
198,He is one of the best teachers I have ever had and he makes reading Shakespeare fun along with his absolutely deep and sound discussion knowledge.  He can make us discuss on anything.,5.0,1.0,"Jun 16th, 2014",672895
199,"I found him to be one of the warmest, most helpful teachers I've ever had.  Beyond that, his depth and breadth of knowledge is staggering, the discussion in his classes was always incredible.  I took 3 classes with him because I was never bored in his classroom.  I gradated 12 years ago and I still remember things I learned from him.",5.0,3.0,"Jan 27th, 2013",672895
200,"Took Victorian Poetry with Brisman and really learned how to read poems.  He is such a careful reader and is a MASTER of leading discussions. He has a scary exterior and is VERY vocal about his politics, so watch out if you disagree with him.  But it didn't get in the way of the coursework, which all in all was a great experience.",5.0,3.0,"Dec 7th, 2012",672895
201,Professor Brisman is a great teacher.,4.0,5.0,"May 3rd, 2012",672895
202,"I respond to the criticisms of Brisman from 6/1/11. I served as a teaching assistant with Brissman as did my wife. He was a heroic teacher. We read each paper together, conferred about the student successes/failures, and gave extensive comments. I cannot speak the previous students experience of shame, I learned from a brilliant caring prof.",4.0,2.0,"Apr 4th, 2012",672895
203,"Took a class from him 33 years ago, one of the worst experiences I ever had, although I got a good grade. I hope that he has learned to be a better teacher. He shamed people in class and in comments on papers, with snide and even cruel remarks. He was the reason I dropped out of grad school. And not only me. Half the class dropped out that year.",1.5,3.0,"Jun 5th, 2011",672895
204,"Professor Brisman changed my life, my attitude toward literature, and the course of my career. Can you say that about other teachers? What an amazing, wonderful person.",5.0,3.0,"Apr 25th, 2010",672895
